nominal_size,available_schedules,standard_family
1/4 in,"seller-described wall or coating",small diameter / fabricated product
3/8 in,"seller-described wall or coating",small diameter / fabricated product
5/8 in,"sucker rod or seller-described",sucker rod / fabricated product
7/8 in,"sucker rod or seller-described",sucker rod / fabricated product
1-3/4 in,"seller-described wall or coating",fabricated product
2-1/8 in,"seller-described wall or coating",oilfield / fabricated product
2-3/8 in,"drill stem|tubing|casing|used oilfield pipe",oilfield common size
2-7/8 in,"drill stem|tubing|casing|used oilfield pipe",oilfield common size
3-7/8 in,"drill stem|used oilfield pipe",oilfield / ranch fabrication
4-1/2 in,"drill pipe|casing|used oilfield pipe",oilfield common size
5-1/2 in,"drill pipe|casing|used oilfield pipe",oilfield common size
5-7/8 in,"drill stem|used oilfield pipe",oilfield / ranch fabrication
6-5/8 in,"casing|used oilfield pipe",oilfield common size
7-5/8 in,"casing|used oilfield pipe",oilfield common size
8-5/8 in,"casing|used oilfield pipe",oilfield common size
9-5/8 in,"casing|used oilfield pipe",oilfield common size
10-3/4 in,"casing|used oilfield pipe",oilfield common size
11-3/4 in,"casing|used oilfield pipe",oilfield common size
13-3/8 in,"casing|used oilfield pipe",oilfield common size
1/2 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
3/4 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
1 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
1-1/4 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
1-1/2 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
2 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
2-1/2 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
3 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
3-1/2 in,"5S|10|10S|40|40S|80|80S|160|STD|XS|XXS",ASME B36 family
4 in,"5S|10|10S|20|40|40S|60|80|80S|100|120|140|160|STD|XS|XXS",ASME B36 family
5 in,"5S|10|10S|20|40|40S|60|80|80S|100|120|140|160|STD|XS|XXS",ASME B36 family
6 in,"5S|10|10S|20|40|40S|60|80|80S|100|120|140|160|STD|XS|XXS",ASME B36 family
8 in,"5S|10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS|XXS",ASME B36 family
10 in,"5S|10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
12 in,"5S|10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
14 in,"10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
16 in,"10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
18 in,"10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
20 in,"10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
24 in,"10|10S|20|30|40|40S|60|80|80S|100|120|140|160|STD|XS",ASME B36 family
30 in,"10|20|30|40|60|80|100|120|140|160|STD|XS",ASME B36 family
36 in,"10|20|30|40|60|80|100|120|140|160|STD|XS",ASME B36 family
42 in,"10|20|30|40|60|80|100|120|140|160|STD|XS",ASME B36 family
48 in,"10|20|30|40|60|80|100|120|140|160|STD|XS",ASME B36 family
